Metric,Value
Total Events,122567
Pageviews,73360
Previews,16708
Clicks,32499
Pageview → Click Rate,44.30%
Pageview → Preview Rate,22.78%
Countries,211
Cities,11993
Artists,2419
Tracks,3562
Links,3839
