artist,click,pageview,preview,click_rate
Sahir Ali Bagga,53,67,0,79.1044776119403
Sueco,204,329,66,62.00607902735562
"Simone & Simaria, Sebastian Yatra",46,77,26,59.74025974025974
Kodak Black,192,329,36,58.35866261398176
Soldier Kidd,214,367,59,58.31062670299727
FINNEAS,51,88,26,57.95454545454546
"Lil Tecca, Gunna",277,478,0,57.94979079497908
Nessa Barrett,53,92,12,57.608695652173914
"Vandelux, Alex Maher",49,86,25,56.97674418604651
Capella Grey,386,678,69,56.932153392330385
