country,click,pageview,preview
United States,8446,18131,2087
India,5360,10565,2764
France,2792,6181,1592
Saudi Arabia,1976,3712,1994
United Kingdom,1307,3218,570
Germany,1030,2585,402
Canada,840,1702,242
Pakistan,754,1382,497
Iraq,567,1285,592
Turkey,466,1598,335
