date,click,pageview,preview
2021-08-19,5860,13006,2290
2021-08-20,4999,11088,2449
2021-08-21,4279,9939,2483
2021-08-22,4421,9982,2524
2021-08-23,4314,9722,2379
2021-08-24,4231,9705,2355
2021-08-25,4395,9918,2228
