artist,click,pageview,preview,total_events,click_rate
Tony Kakkar,1,3,0,4,33.33333333333333
Diamond Platnumz,2,2,0,4,100.0
Black Sherif,1,3,0,4,33.33333333333333
RVSHVD,2,2,0,4,100.0
Black Eyed Peas,2,2,0,4,100.0
Bizzy Banks,1,3,0,4,33.33333333333333
Jacob Sartorius,2,2,0,4,100.0
blink-182,2,2,0,4,100.0
Bam StaxkAlot,1,3,0,4,33.33333333333333
"Smiley, Drake",1,3,0,4,33.33333333333333
J.I the Prince of N.Y,2,2,0,4,100.0
Kurupt,2,2,0,4,100.0
Youssif ELmasry,2,2,0,4,100.0
Young Nudy,2,2,0,4,100.0
Arijit Singh,1,3,0,4,33.33333333333333
"Justin Quiles, Arcangel, Dalex, KEVVO",1,3,0,4,33.33333333333333
Ethel Cain,1,3,0,4,33.33333333333333
Paris Café Society,1,3,0,4,33.33333333333333
Junior H x Natanael Cano,1,3,0,4,33.33333333333333
Roadrunner Glockboyz Tez,1,3,0,4,33.33333333333333
"LAGOS, Danny Ocean",0,3,1,4,0.0
Wail Bouri,1,3,0,4,33.33333333333333
Limp Bizkit,2,2,0,4,100.0
Countdown Singers,0,3,1,4,0.0
Avicii,0,4,0,4,0.0
Enrique Iglesias,2,2,0,4,100.0
DDG,1,3,0,4,33.33333333333333
Ayesha Erotica,1,3,0,4,33.33333333333333
Bad Bunny,1,3,0,4,33.33333333333333
BLACKPINK,1,3,0,4,33.33333333333333
Edicion Especial,2,2,0,4,100.0
Eduardo Luzquiños,2,2,0,4,100.0
Eduardo XD,2,2,0,4,100.0
convolk,2,2,0,4,100.0
KountUpWitdak,2,2,0,4,100.0
El Makabelico,2,2,0,4,100.0
Ne-Yo,0,4,0,4,0.0
JONY,0,4,0,4,0.0
Popcaan,1,3,0,4,33.33333333333333
Nate Dogg,2,2,0,4,100.0
Christian Nodal,0,4,0,4,0.0
glaive,2,2,0,4,100.0
Lil Kayla,1,2,0,3,50.0
John Summit,1,2,0,3,50.0
Justin Moore,1,2,0,3,50.0
Susan Sunnemo,1,2,0,3,50.0
MF DOOM,1,2,0,3,50.0
MC Marks,0,3,0,3,0.0
Meow,1,2,0,3,50.0
Lil Duval,1,2,0,3,50.0
Lil Barnacle,1,2,0,3,50.0
Tommy Royale,0,2,1,3,0.0
KTEDraco,0,3,0,3,0.0
"KORDELYA, õndas",0,2,1,3,0.0
Junior H,1,2,0,3,50.0
KIDZ BOP Kids,1,2,0,3,50.0
K Camp,1,2,0,3,50.0
Juice Armani,1,2,0,3,50.0
MILES,1,1,1,3,100.0
Josh Turner,1,2,0,3,50.0
Troop,1,2,0,3,50.0
Kamaiyah,1,2,0,3,50.0
Internet Money,1,2,0,3,50.0
Icewear Vezzo,1,2,0,3,50.0
Lil' Troy,1,2,0,3,50.0
India.Arie,0,3,0,3,0.0
Mary J. Blige,1,2,0,3,50.0
"Ingrid Andress, Sam Hunt",0,3,0,3,0.0
J. COLE,1,2,0,3,50.0
Tierra Whack,1,2,0,3,50.0
The Lumineers,0,3,0,3,0.0
TWICE,1,2,0,3,50.0
Kyle Lux,1,2,0,3,50.0
Kylesimps,1,2,0,3,50.0
Maxamed BK,1,2,0,3,50.0
Masked Wolf,1,2,0,3,50.0
Iskilaaji,1,2,0,3,50.0
LINKIN PARK,1,2,0,3,50.0
Lildeath,1,2,0,3,50.0
"LUM!X, Gabry Ponte",1,1,1,3,100.0
Koushik,1,2,0,3,50.0
Koba LaD,1,2,0,3,50.0
T3R Elemento,1,2,0,3,50.0
Jelly Roll,1,2,0,3,50.0
Maná,0,3,0,3,0.0
Twood,1,2,0,3,50.0
Los Tucanes de Tijuana,0,3,0,3,0.0
Trevon Payne,1,2,0,3,50.0
Lil Polo Da Don,1,2,0,3,50.0
Khan Bhaini,1,2,0,3,50.0
Trinidad Cardona,1,2,0,3,50.0
Matchbox Twenty,1,2,0,3,50.0
The Verve,1,2,0,3,50.0
"Kidd G, Lil Uzi Vert",1,1,1,3,100.0
Jason Aldean,1,2,0,3,50.0
T-Pain,1,2,0,3,50.0
Kizz Daniel,1,2,0,3,50.0
Lani Love,1,2,0,3,50.0
Khi Infinite,1,1,1,3,100.0
Selena,0,3,0,3,0.0
Duvy,1,2,0,3,50.0
"YNW Melly, Lil Tjay",1,2,0,3,50.0
YFR Nick,1,2,0,3,50.0
Dej Loaf,1,2,0,3,50.0
Ol' Dirty Bastard,1,2,0,3,50.0
drako2k,1,2,0,3,50.0
diveliner,1,1,1,3,100.0
B.o.B,0,3,0,3,0.0
BAYLI,1,2,0,3,50.0
Dayglow,1,2,0,3,50.0
Risko Funk,1,2,0,3,50.0
YSG Migo,1,2,0,3,50.0
Darkoo,1,2,0,3,50.0
Baani Sandhu,1,2,0,3,50.0
DannyLux,1,2,0,3,50.0
Damu The Fudgemunk,0,3,0,3,0.0
"chloe moriondo, mazie",1,2,0,3,50.0
carson harrelson,1,2,0,3,50.0
"glaive, ericdoa",1,2,0,3,50.0
Diamond Audio,1,2,0,3,50.0
Ellie D.,1,2,0,3,50.0
kashmoneyquatro,1,2,0,3,50.0
Alvaro Soler,1,2,0,3,50.0
Never Broke Again,1,2,0,3,50.0
Amarirochelle,1,2,0,3,50.0
Nik Tendo,0,3,0,3,0.0
Nivel Codiciado,1,2,0,3,50.0
WizKid,1,2,0,3,50.0
Dthang,1,2,0,3,50.0
Dr. Dre,1,2,0,3,50.0
August Alsina,1,2,0,3,50.0
Anuel AA,1,2,0,3,50.0
iskilze,1,2,0,3,50.0
RmxGuy,1,2,0,3,50.0
iZNiiK,1,1,1,3,100.0
i-genius,1,2,0,3,50.0
Atif Aslam,1,2,0,3,50.0
"Dillon Francis, 220 KID, Bryn Christopher",1,1,1,3,100.0
bülow,1,2,0,3,50.0
Da Real Gee Money,1,2,0,3,50.0
"Ovy On The Drums, Beéle, Bad Milk",0,3,0,3,0.0
Bon Iver,1,2,0,3,50.0
"Yung Bleu, Big Sean",1,2,0,3,50.0
Hardi Salami,1,2,0,3,50.0
Chord Overstreet,1,2,0,3,50.0
Ramirez,1,2,0,3,50.0
BigKayBeezy,1,2,0,3,50.0
Channel Tres,1,2,0,3,50.0
ROLE MODEL,0,3,0,3,0.0
Yung Yash,1,2,0,3,50.0
bbno$,1,2,0,3,50.0
Campehd,1,2,0,3,50.0
Yvng Waldo,1,2,0,3,50.0
"Cake Pop, Dylan Brady, Ravenna Golden, Pritty, Aaron Cartier",1,1,1,3,100.0
Bossa Nova Jazz,1,2,0,3,50.0
Cake Pop,1,1,1,3,100.0
"Pop Smoke, Dua Lipa",1,2,0,3,50.0
Quality Control,0,3,0,3,0.0
Coby,1,2,0,3,50.0
Peppa Pig,1,2,0,3,50.0
Colby Lafayette,1,1,1,3,100.0
Pcc,1,2,0,3,50.0
Yes,1,2,0,3,50.0
DJ Dmonio,1,2,0,3,50.0
Soccer Mommy,0,3,0,3,0.0
DCG Bsavv,1,2,0,3,50.0
Young Flex,1,2,0,3,50.0
Zuchu,1,2,0,3,50.0
Young M.A,1,2,0,3,50.0
Parker McCollum,1,2,0,3,50.0
Cuco,1,2,0,3,50.0
Bhad Bhabie,0,3,0,3,0.0
"Paty B, Mario Puglia",1,2,0,3,50.0
Paulii,1,2,0,3,50.0
Young Pappy,1,2,0,3,50.0
Rasta,1,2,0,3,50.0
Courtney Drummey,1,2,0,3,50.0
Ella Henderson,1,2,0,3,50.0
OBN Jay,1,2,0,3,50.0
Alaina Castillo,0,2,1,3,0.0
Aleksa Safiya,1,2,0,3,50.0
Grupo Pegasso,1,2,0,3,50.0
SAINT PHNX,1,2,0,3,50.0
SHANTANU MUSIC,0,3,0,3,0.0
Summrs,0,3,0,3,0.0
Valentino Khan,0,1,2,3,0.0
Adso Alejandro,1,2,0,3,50.0
Muhammad Al Muqit,1,2,0,3,50.0
FatMigo,1,2,0,3,50.0
6ix9ine,0,3,0,3,0.0
Gene Kelly,0,3,0,3,0.0
Faye Webster,2,1,0,3,200.0
Modernmadeit,1,2,0,3,50.0
"sora.wav, Chevy",1,2,0,3,50.0
Mozzy,1,2,0,3,50.0
شيمي,0,3,0,3,0.0
Monaleo,1,2,0,3,50.0
Abi,1,2,0,3,50.0
Vedo,1,2,0,3,50.0
Mouse On Tha Track,1,2,0,3,50.0
Sadek,1,2,0,3,50.0
MoneyMarr,1,2,0,3,50.0
Moneymeelz,1,2,0,3,50.0
Mont,1,2,0,3,50.0
Vicnumba7,1,2,0,3,50.0
Sam Hunt,1,2,0,3,50.0
Alec Benjamin,0,2,1,3,0.0
Freddie Gibbs,1,2,0,3,50.0
Stevie Wonder,1,2,0,3,50.0
Sebastian Yatra,1,2,0,3,50.0
Roul,1,2,0,3,50.0
UpChurch,1,2,0,3,50.0
HUTS,1,2,0,3,50.0
Walkdown Dame,0,3,0,3,0.0
FCG Heem,1,2,0,3,50.0
3 Doors Down,0,3,0,3,0.0
NO Savage,1,2,0,3,50.0
33DRE,1,2,0,3,50.0
منصور الوايلي,1,2,0,3,50.0
Shanaz,1,2,0,3,50.0
"Savage Ga$p, 8percent, Astrus*",0,3,0,3,0.0
Russ Millions,1,2,0,3,50.0
The Backseat Lovers,1,1,0,2,100.0
Teyana Taylor,1,1,0,2,100.0
Santi,1,1,0,2,100.0
Sammy Kershaw,1,1,0,2,100.0
The Charlie Daniels Band,1,1,0,2,100.0
Lil Mosey,1,1,0,2,100.0
Quin NFN,0,2,0,2,0.0
Tgstackz,0,2,0,2,0.0
Simple Plan,0,2,0,2,0.0
Raveena,1,1,0,2,100.0
Sickboyrari,1,1,0,2,100.0
Ratchet Rome,1,1,0,2,100.0
Quad City DJ's,0,2,0,2,0.0
Sinaysayli,1,1,0,2,100.0
The Breeders,1,1,0,2,100.0
Self Made Breezy,1,1,0,2,100.0
The Bird And The Bee,1,1,0,2,100.0
Sapphire,1,1,0,2,100.0
Th CDM,1,1,0,2,100.0
Scorey,1,1,0,2,100.0
Randy Rogers Band,1,1,0,2,100.0
REXXXX,1,1,0,2,100.0
RH Music & Eduardo Luzquiños,1,1,0,2,100.0
Loski,1,1,0,2,100.0
Simi,1,1,0,2,100.0
R3HAB,1,1,0,2,100.0
Savage Ga$p,1,1,0,2,100.0
Qutaiba,1,1,0,2,100.0
Sik World,1,1,0,2,100.0
Lil Migo,1,1,0,2,100.0
Quinto V Imperio,0,2,0,2,0.0
Rainbow Kitten Surprise,1,1,0,2,100.0
Sia,1,1,0,2,100.0
Saucy Shawn,1,1,0,2,100.0
Los Temerarios,1,1,0,2,100.0
Sasy,1,1,0,2,100.0
Ramy Sabry,1,1,0,2,100.0
Quinn XCII,1,1,0,2,100.0
Quin Nfn,1,1,0,2,100.0
Louie5Bandz,1,1,0,2,100.0
Sayyhuncho,1,1,0,2,100.0
Los Primos MX,1,1,0,2,100.0
Shawn Mendes,1,1,0,2,100.0
The Dazees,1,1,0,2,100.0
Lil Oasis,1,1,0,2,100.0
The Kooks,1,1,0,2,100.0
Shakur Luciano,1,1,0,2,100.0
The Head And The Heart,1,1,0,2,100.0
Promi$e,1,1,0,2,100.0
Ritchie Valens,1,1,0,2,100.0
Riub DJ,0,2,0,2,0.0
Rusted Root,1,1,0,2,100.0
Little Big Town,1,1,0,2,100.0
Lit Cosmo,1,1,0,2,100.0
Lirico En La Casa,1,1,0,2,100.0
RuskieBanana,1,1,0,2,100.0
Ro Ryon,1,1,0,2,100.0
Rucci,1,1,0,2,100.0
RuPaul,1,1,0,2,100.0
Roy Kk,1,1,0,2,100.0
Rayvanny,1,1,0,2,100.0
Rob Zombie,1,1,0,2,100.0
Shelly Lares,1,1,0,2,100.0
Roberto Tapia,1,1,0,2,100.0
Robyn The Bank,1,1,0,2,100.0
Rochy RD,1,1,0,2,100.0
She Wants Revenge,1,1,0,2,100.0
Rod Riigo,1,1,0,2,100.0
"Roddy Ricch, Ty Dolla $ign",1,1,0,2,100.0
Rotimi,1,1,0,2,100.0
Romano Santino,1,1,0,2,100.0
Ronnie Bandino,1,1,0,2,100.0
Lil Yungin,1,1,0,2,100.0
Rose Royce,0,2,0,2,0.0
LoFi Waiter,1,1,0,2,100.0
Shadi Kassem,1,1,0,2,100.0
Locko,1,1,0,2,100.0
Lodiodi,1,1,0,2,100.0
Send Request,1,1,0,2,100.0
SiLLy ViRaL,1,1,0,2,100.0
Rebelution,1,1,0,2,100.0
Shwe Htoo,1,1,0,2,100.0
Salif Keita,1,1,0,2,100.0
Los Dareyes De La Sierra,1,1,0,2,100.0
Shwayze,1,1,0,2,100.0
Lil' Kim,1,1,0,2,100.0
Sakura,1,1,0,2,100.0
Relaxing Morning Music,1,1,0,2,100.0
Relaxing Radiance,1,1,0,2,100.0
Rell Shellz,1,1,0,2,100.0
Seventeen,1,1,0,2,100.0
Saace,0,2,0,2,0.0
Lil Scoobie,1,1,0,2,100.0
The Marías,1,1,0,2,100.0
Rick Ross,0,2,0,2,0.0
SUSU,0,2,0,2,0.0
Shaa Gz,1,1,0,2,100.0
Lord Huron,0,2,0,2,0.0
SMYLES,1,1,0,2,100.0
Lil Skeet,1,1,0,2,100.0
Ricky Rich,1,1,0,2,100.0
Rico Cartel,0,2,0,2,0.0
Shordie Shordie,1,1,0,2,100.0
Rio Da Yung OG Louie Ray,1,1,0,2,100.0
Riovaz,1,1,0,2,100.0
Puma Blue,1,1,0,2,100.0
Metro Boomin,1,1,0,2,100.0
Singuila,1,1,0,2,100.0
Mustafa Barak,1,1,0,2,100.0
Naughty By Nature,1,1,0,2,100.0
Nate Smith,1,1,0,2,100.0
Masala Roo,1,1,0,2,100.0
Nafe Smallz,1,1,0,2,100.0
Stevie Nicks,1,1,0,2,100.0
NBV Tae,0,2,0,2,0.0
Stewart ستيوارت,1,1,0,2,100.0
Stichting Opwekking,1,1,0,2,100.0
StarBoy,1,1,0,2,100.0
Musiq Soulchild,0,2,0,2,0.0
Matt Maeson,1,1,0,2,100.0
Stick Figure,1,1,0,2,100.0
Sticks & Stones,1,1,0,2,100.0
TED,1,1,0,2,100.0
Still Woozy,1,1,0,2,100.0
Musica Cristiana,0,2,0,2,0.0
Neon Trees,1,1,0,2,100.0
Netherfriends,1,1,0,2,100.0
Nuekidinlove,1,1,0,2,100.0
NoSavage,1,1,0,2,100.0
Now United,0,2,0,2,0.0
NostrandBaby,1,1,0,2,100.0
Spinall,1,1,0,2,100.0
Nokiaa,1,1,0,2,100.0
Spirit CJ,1,1,0,2,100.0
Mark Northam,0,2,0,2,0.0
Marko Mandic,1,1,0,2,100.0
"No Doubt, Lady Saw",1,1,0,2,100.0
Staind,1,1,0,2,100.0
No Doubt,1,1,0,2,100.0
Nine Inch Nails,1,1,0,2,100.0
Marwa Loud,1,1,0,2,100.0
Nikos Vertis,1,1,0,2,100.0
Nigpro,1,1,0,2,100.0
Squeezie,1,1,0,2,100.0
Newsboys,1,1,0,2,100.0
Mavado,1,1,0,2,100.0
Music Falcon,1,1,0,2,100.0
T3r Elemento,1,1,0,2,100.0
Miguel Y Miguel,1,1,0,2,100.0
Montana Of 300,1,1,0,2,100.0
Megaraptor,1,1,0,2,100.0
Meize Bentley,1,1,0,2,100.0
Sufjan Stevens,1,1,0,2,100.0
Mild High Club,1,1,0,2,100.0
Sy Ari Da Kid,1,1,0,2,100.0
Miklos Whelan,1,1,0,2,100.0
Michael Villano Chevron$hawty,1,1,0,2,100.0
Muse,1,1,0,2,100.0
Memaar Al Morshedy,0,2,0,2,0.0
Michael Lynche,1,1,0,2,100.0
Michael Abels,1,1,0,2,100.0
MiDO,1,1,0,2,100.0
Mg Sleepy,1,1,0,2,100.0
MemoTheMafioso,1,1,0,2,100.0
Metroacs,1,1,0,2,100.0
Monte Booker,1,1,0,2,100.0
Moo Moo,1,1,0,2,100.0
Mook Boy,1,1,0,2,100.0
Mooski,0,2,0,2,0.0
Stogiie Santana,1,1,0,2,100.0
May D,1,1,0,2,100.0
Ms.OOJA,1,1,0,2,100.0
Stract,1,1,0,2,100.0
Mbosso,0,2,0,2,0.0
Mr Enah,1,1,0,2,100.0
Mozzik,1,1,0,2,100.0
Movie Sounds Unlimited,1,1,0,2,100.0
"Mc Jeffinho, Aflexa no Beat & Mc Kaio",1,1,0,2,100.0
Movie Magic And His Solid Gold Soundtracks,1,1,0,2,100.0
Mc Livinho,1,1,0,2,100.0
Morton Gould,1,1,0,2,100.0
Mori Briscoe,1,1,0,2,100.0
Medico,1,1,0,2,100.0
T.I.,1,1,0,2,100.0
TRAMP STAMPS,1,1,0,2,100.0
Spin Doctors,1,1,0,2,100.0
Prince Swanny,1,1,0,2,100.0
MC WM,0,2,0,2,0.0
Tariq Al Menhali,1,1,0,2,100.0
Slick,1,1,0,2,100.0
Tanner Usrey,1,1,0,2,100.0
Piano Music,1,1,0,2,100.0
Piano Keys,1,1,0,2,100.0
Tank,0,2,0,2,0.0
Peruzzi,1,1,0,2,100.0
"Peach Tree Rascals, AG Club",0,1,1,2,0.0
Taylor Swift,0,2,0,2,0.0
Smash Mouth,0,2,0,2,0.0
MCTR,1,1,0,2,100.0
Patrulla 81,1,1,0,2,100.0
Smino,1,1,0,2,100.0
Tamia,1,1,0,2,100.0
Sneezo Quixk,1,1,0,2,100.0
Parker Irving,1,1,0,2,100.0
MBB,1,1,0,2,100.0
Pixies,0,2,0,2,0.0
O.C. Dawgs,1,1,0,2,100.0
Tekno,1,1,0,2,100.0
Pretty Ricky,0,2,0,2,0.0
Press Play Picture House,1,1,0,2,100.0
Lukas Graham,0,1,1,2,0.0
Sir Mix-A-Lot,1,1,0,2,100.0
Pouya,1,1,0,2,100.0
Porte Diferente,0,2,0,2,0.0
Sixto Rein,1,1,0,2,100.0
Teen Suicide,1,1,0,2,100.0
Pi’erre Bourne,0,2,0,2,0.0
Pool Blue,1,1,0,2,100.0
Lytos,1,1,0,2,100.0
Pleight,1,1,0,2,100.0
PlayboyXO,1,1,0,2,100.0
Ski Mask the Slump God,0,2,0,2,0.0
Plan B,0,2,0,2,0.0
M24,1,1,0,2,100.0
Tame Impala,1,1,0,2,100.0
Pappy Kojo,1,1,0,2,100.0
Paper Towels,1,1,0,2,100.0
Ocean Waves,1,1,0,2,100.0
Mandisa,1,1,0,2,100.0
Omah Lay,1,1,0,2,100.0
Okay Kaya,1,1,0,2,100.0
OhGeesy,1,1,0,2,100.0
MarMar Oso,1,1,0,2,100.0
Oh No,1,1,0,2,100.0
Of Monsters and Men,1,1,0,2,100.0
Marcus Layton,1,1,0,2,100.0
MIKE,1,1,0,2,100.0
Marcy Chin,1,1,0,2,100.0
Spideyyy,1,1,0,2,100.0
Mareux,1,1,0,2,100.0
OLA RUNT,1,1,0,2,100.0
OK Go,1,1,0,2,100.0
Marino Freshman,1,1,0,2,100.0
O.T. Genasis,1,1,0,2,100.0
Manantial de Vida,1,1,0,2,100.0
Omar Apollo,1,1,0,2,100.0
Omb Peezy,1,1,0,2,100.0
Sound Effects,0,2,0,2,0.0
Sobel,1,1,0,2,100.0
Soch The Rapper,1,1,0,2,100.0
PG Ra,1,1,0,2,100.0
PAW Patrol,1,1,0,2,100.0
Talhah Yunus,1,1,0,2,100.0
Talented1337,1,1,0,2,100.0
PARTYNEXTDOOR,1,1,0,2,100.0
Ozbi,1,1,0,2,100.0
Sonta,1,1,0,2,100.0
Macklemore,1,1,0,2,100.0
MadeinTYO,1,1,0,2,100.0
Orkhan Rza,0,2,0,2,0.0
Magdala,1,1,0,2,100.0
Mahmood Raza Qadri,0,2,0,2,0.0
Makano,0,2,0,2,0.0
Phantogram,0,2,0,2,0.0
Lil Bill,1,1,0,2,100.0
Duwap Kaine,1,1,0,2,100.0
DJ Kayz,0,2,0,2,0.0
Croosh,1,1,0,2,100.0
Crumb,1,1,0,2,100.0
Culture Jam,0,2,0,2,0.0
Curtis Williams,1,1,0,2,100.0
"Cypress Moreno, Drego & Beno",1,1,0,2,100.0
Cyraq,1,1,0,2,100.0
D.G. YOLA,1,1,0,2,100.0
D.O.D,0,1,1,2,0.0
D.O.F MOB,1,1,0,2,100.0
DB.Boutabag,0,2,0,2,0.0
DJ Bando,1,1,0,2,100.0
DJ Chico,1,1,0,2,100.0
Yolta,1,1,0,2,100.0
DJ JOHN,1,1,0,2,100.0
DJ Khaled,1,1,0,2,100.0
Fall Out Boy,1,1,0,2,100.0
DJ Maestro,1,1,0,2,100.0
Yellowcard,1,1,0,2,100.0
DJ Pyfo,1,1,0,2,100.0
Yella Beezy,1,1,0,2,100.0
DJ Smuddpurpp,1,1,0,2,100.0
Yei Lirycs,1,1,0,2,100.0
Yan Block,0,1,1,2,0.0
Da Crook,1,1,0,2,100.0
Dagames,1,1,0,2,100.0
Damian Marley,1,1,0,2,100.0
Dan + Shay,1,1,0,2,100.0
Dante YN,1,1,0,2,100.0
Dear Landlord,1,1,0,2,100.0
YNN Cooter,1,1,0,2,100.0
CrittyOnDaTrak,1,1,0,2,100.0
Creedence Clearwater Revival,0,2,0,2,0.0
Creed,1,1,0,2,100.0
Young Scooter,0,2,0,2,0.0
Yurub Geenyo,1,1,0,2,100.0
Yungeen Ace,0,2,0,2,0.0
Case,1,1,0,2,100.0
Cash Kidd,1,1,0,2,100.0
Cassidi,1,1,0,2,100.0
Cavendish Music,0,2,0,2,0.0
CeeGee,1,1,0,2,100.0
Celldweller,1,1,0,2,100.0
Chaka Khan,1,1,0,2,100.0
Chalak Arif چالاک عارف,1,1,0,2,100.0
Chamillionaire,0,2,0,2,0.0
Chance the Rapper,1,1,0,2,100.0
Yung Fazo,1,1,0,2,100.0
Yung Dastard,1,1,0,2,100.0
"Chau Dang Khoa, Sofia, Khói, Nhí, TiLo",1,1,0,2,100.0
Cheb Handi,1,1,0,2,100.0
Cheb Handi Officiel,1,1,0,2,100.0
Cheb Hasni,1,1,0,2,100.0
Cher,1,1,0,2,100.0
Chiccote's Beats,1,1,0,2,100.0
Chill Machine,1,1,0,2,100.0
Chiqui Chiquititos,0,2,0,2,0.0
Chocolate Star,1,1,0,2,100.0
Chris LeDoux,1,1,0,2,100.0
Younq Kye,1,1,0,2,100.0
Cocomelon,0,2,0,2,0.0
Coded Channel,1,1,0,2,100.0
Youngboy Top,1,1,0,2,100.0
Young the Giant,1,1,0,2,100.0
Deemz,1,1,0,2,100.0
"YG, Mozzy, A Boogie Wit da Hoodie",0,1,1,2,0.0
Dekko,1,1,0,2,100.0
Willis,1,1,0,2,100.0
"EST Gee, Lil Baby, 42 Dugg, Rylo Rodriguez",1,1,0,2,100.0
Easy Smith,1,1,0,2,100.0
Wildlife,1,1,0,2,100.0
Why G,1,1,0,2,100.0
Whoppa Wit Da Choppa,1,1,0,2,100.0
Edot Babyy,1,1,0,2,100.0
Whookilledkenny,0,1,1,2,0.0
El Fecho RD,1,1,0,2,100.0
El Hitta,1,1,0,2,100.0
El Kila,1,1,0,2,100.0
El Komander,1,1,0,2,100.0
El Nxxse,1,1,0,2,100.0
El Seis,1,1,0,2,100.0
Whelp,0,2,0,2,0.0
Wes Nelson,0,2,0,2,0.0
Elley Duhé,0,2,0,2,0.0
Elliott Smith,1,1,0,2,100.0
Were-vana,1,1,0,2,100.0
Emmit Fenn,1,1,0,2,100.0
Empire of the Sun,1,1,0,2,100.0
Epidemic7,1,1,0,2,100.0
Wendy Shay,1,1,0,2,100.0
Weiland,1,1,0,2,100.0
Eric Jacobsen,1,1,0,2,100.0
Wayne Wonder,1,1,0,2,100.0
Escape The Fate,1,1,0,2,100.0
FBG Boomer,1,1,0,2,100.0
FREDOBAGZ,1,1,0,2,100.0
Fabolous,0,2,0,2,0.0
EMC Senatra,1,1,0,2,100.0
Willow,0,2,0,2,0.0
Delano,1,1,0,2,100.0
EDM Blaster,1,1,0,2,100.0
Dena Mwana,1,1,0,2,100.0
Destroy Lonely,1,1,0,2,100.0
Dewi Perssik,1,1,0,2,100.0
Diddy,1,1,0,2,100.0
Digga D,1,1,0,2,100.0
Disturbing Tha Peace,0,2,0,2,0.0
Dj Flyy,1,1,0,2,100.0
Dj Snake Haiti,1,1,0,2,100.0
Dj Young Mty,1,1,0,2,100.0
YB,1,1,0,2,100.0
Dodesz,1,1,0,2,100.0
Doja Cat,1,1,0,2,100.0
Xavier Youngboy,1,1,0,2,100.0
Domani,1,1,0,2,100.0
Dominik,1,1,0,2,100.0
Domino,1,1,0,2,100.0
Don Lore V,1,1,0,2,100.0
XXCHICØ,1,1,0,2,100.0
X Ambassadors,1,1,0,2,100.0
Woonka,1,1,0,2,100.0
Wolfgang Amadeus Mozart,0,2,0,2,0.0
DripBoiJ,0,2,0,2,0.0
Dsteez,1,1,0,2,100.0
Dubskie,1,1,0,2,100.0
Duke Deuce,1,1,0,2,100.0
Duster,1,1,0,2,100.0
Lil God Dan,1,1,0,2,100.0
Dwight Yoakam,1,1,0,2,100.0
Dynamo,1,1,0,2,100.0
Calming Piano Therapy,0,2,0,2,0.0
Calimar White,1,1,0,2,100.0
Yxng Bane,1,1,0,2,100.0
Ahmed Jahanzeb,1,1,0,2,100.0
Aish,0,2,0,2,0.0
sadeyes,1,1,0,2,100.0
Alacranes Musical,1,1,0,2,100.0
Alan Jackson,1,1,0,2,100.0
Alanis Morissette,1,1,0,2,100.0
Alex Goot,1,1,0,2,100.0
Alex Suarez Dj,0,2,0,2,0.0
osquinn,1,1,0,2,100.0
noeneon,1,1,0,2,100.0
Alina Baraz,1,1,0,2,100.0
mysticphonk,1,1,0,2,100.0
Alkaline,1,1,0,2,100.0
All Time Low,1,1,0,2,100.0
Almighty,1,1,0,2,100.0
midwxst,1,1,0,2,100.0
Alter Bridge,1,1,0,2,100.0
Amaarae,1,1,0,2,100.0
Amanda Perez,1,1,0,2,100.0
Amr Diab,1,1,0,2,100.0
Ana Emilia,0,2,0,2,0.0
Anal Cunt,1,1,0,2,100.0
Andrei Krylov,1,1,0,2,100.0
Andrew Andraos,1,1,0,2,100.0
Angus & Julia Stone,1,1,0,2,100.0
Anna Clendening,1,1,0,2,100.0
Anson Seabra,1,1,0,2,100.0
Arca,1,1,0,2,100.0
Aretha Franklin,1,1,0,2,100.0
Astro Davis,0,2,0,2,0.0
AiA LITT,1,1,0,2,100.0
shotbymondo,1,1,0,2,100.0
Avenged Sevenfold,1,1,0,2,100.0
Adriana Lucia,1,1,0,2,100.0
$hyfromdatre,1,1,0,2,100.0
エックスエックスエックステンタシオン,1,1,0,2,100.0
يوسف باسم - Yousif Basim,1,1,0,2,100.0
03 Greedo,0,2,0,2,0.0
1TakeJay,1,1,0,2,100.0
24kgoldn,1,1,0,2,100.0
2KBABY,1,1,0,2,100.0
2Scratch,1,1,0,2,100.0
2active.Nk,1,1,0,2,100.0
31lildanky,1,1,0,2,100.0
347aidan,1,1,0,2,100.0
4L Gang,1,1,0,2,100.0
5Hunnid Ze',0,2,0,2,0.0
5k Productions,1,1,0,2,100.0
7FN Pooh,1,1,0,2,100.0
رامي صبري,1,1,0,2,100.0
9ockin,1,1,0,2,100.0
A1 x J1,1,1,0,2,100.0
AG Club,1,1,0,2,100.0
"AG Club, ICECOLDBISHOP",1,1,0,2,100.0
ALKALINE,1,1,0,2,100.0
AP Dhillon,0,2,0,2,0.0
AURORA,1,1,0,2,100.0
Ñengo Flow,0,2,0,2,0.0
torrylitty,1,1,0,2,100.0
Abraham Alem Abi,1,1,0,2,100.0
Abu Ubayda,1,1,0,2,100.0
t-low,1,1,0,2,100.0
Adham Nabulsi,1,1,0,2,100.0
Auro,0,2,0,2,0.0
Axelpall07,0,2,0,2,0.0
Z-Ro,1,1,0,2,100.0
Zero 9:36,1,1,0,2,100.0
Blake Neely,1,1,0,2,100.0
Blaqbonez,1,1,0,2,100.0
Zendaya,1,1,0,2,100.0
Bloodysaintt,1,1,0,2,100.0
Blueboy,1,1,0,2,100.0
Blueface,0,2,0,2,0.0
