artist,click,pageview,preview,total_events,click_rate
"MC Ryan SP, Mc Don Juan, MC Hariel, Ferrugem, Gaab, MC Kevinho, Mc Davi, Mc Dricka, Mc Kevin, Mc Lbx, Mc PP da VS, Mc Pedrinho, Salvador da Rima",11,31,10,52,35.483870967741936
Playboi Carti,17,32,1,50,53.125
vaultboy,15,30,4,49,50.0
Gucci Mane,13,32,4,49,40.625
Gunna,10,35,3,48,28.57142857142857
Kevin Gates,19,28,1,48,67.85714285714286
SPEECHLESS,13,25,10,48,52.0
Mostafa Aman,8,29,11,48,27.586206896551722
"Greeicy, Alejandro Sanz",13,30,4,47,43.333333333333336
salem ilese,8,30,8,46,26.666666666666668
Mitski,8,29,9,46,27.586206896551722
Dixie,6,29,10,45,20.689655172413794
Fleetwood Mac,12,26,6,44,46.15384615384615
"Jhay Cortez, Skrillex",13,27,3,43,48.148148148148145
WHOKILLEDXIX,12,28,2,42,42.857142857142854
Yameii Online,6,26,9,41,23.076923076923077
Sidhart Ji,7,27,7,41,25.925925925925924
Juice WRLD,13,27,1,41,48.148148148148145
Adenio,10,22,8,40,45.45454545454545
"Pooh Shiesty, G Herbo, No More Heroes",12,26,2,40,46.15384615384615
Iamdoechii,9,23,8,40,39.130434782608695
"Peggy Gou, OHHYUK",8,26,6,40,30.76923076923077
Don Toliver,10,23,5,38,43.47826086956522
Tai Verdes,9,26,3,38,34.61538461538461
"Saweetie, Doja Cat",7,24,7,38,29.166666666666668
Coi Leray,14,22,1,37,63.63636363636363
carwash,14,19,4,37,73.68421052631578
Hiko,9,22,5,36,40.909090909090914
"Marc Seguí, Rauw Alejandro, Pol Granch",7,23,6,36,30.434782608695656
Zeina,7,19,8,34,36.84210526315789
Henry Mancini,7,22,5,34,31.818181818181817
Various Artists,7,27,0,34,25.925925925925924
"Sally Sossa, Lil Durk",10,20,4,34,50.0
YNW Melly,12,21,0,33,57.14285714285714
"Yung Bleu, Chris Brown, 2 Chainz",10,22,1,33,45.45454545454545
Oz Sparx,11,17,5,33,64.70588235294117
Ozuna,9,23,0,32,39.130434782608695
DJ Snake,4,23,5,32,17.391304347826086
"Jack Harlow, Big Sean",11,18,3,32,61.111111111111114
Kehlani,6,22,4,32,27.27272727272727
"Rod Wave, Polo G",10,21,1,32,47.61904761904761
YFN Lucci,8,22,1,31,36.36363636363637
"CCA Jonas, 8lanco",8,17,6,31,47.05882352941176
Comethazine,9,21,1,31,42.857142857142854
Daft Punk,10,18,3,31,55.55555555555556
"Lute, DEVN",9,17,4,30,52.94117647058824
Polo G,3,23,4,30,13.043478260869565
"Rich The Kid, YoungBoy Never Broke Again",7,20,3,30,35.0
"ANAVITÓRIA, Jovem Dionisio",7,17,6,30,41.17647058823529
King Von,10,19,0,29,52.63157894736842
"plumpy, daisy maize",7,17,5,29,41.17647058823529
Sarah Nathalié,6,20,3,29,30.0
Lil Double 0,9,19,0,28,47.368421052631575
Julia Wolf,5,20,3,28,25.0
Swedish House Mafia,10,18,0,28,55.55555555555556
Frankie Valli,7,15,6,28,46.666666666666664
The Pussycat Dolls,8,17,2,27,47.05882352941176
YEAT,5,17,5,27,29.411764705882355
EST Gee,12,15,0,27,80.0
"KEVVO, Arcangel, Becky G, Darell",5,16,5,26,31.25
Kiefer,5,16,5,26,31.25
Migos,8,14,4,26,57.14285714285714
Jhené Aiko,8,17,0,25,47.05882352941176
"Don Toliver, Kali Uchis",7,15,3,25,46.666666666666664
"J. Cole, Lil Baby",9,16,0,25,56.25
Brent Faiyaz,8,16,0,24,50.0
Joseline Hernandez,7,17,0,24,41.17647058823529
Lil Murrty,5,19,0,24,26.31578947368421
"Brent Faiyaz, DJ Dahi, Tyler, The Creator",9,15,0,24,60.0
Geek Music,8,15,1,24,53.333333333333336
"Sean Paul, Ty Dolla $ign",4,15,5,24,26.666666666666668
Toosii,6,18,0,24,33.33333333333333
KT Tunstall,6,13,5,24,46.15384615384615
Aminé,7,16,1,24,43.75
Nuski2Squad,9,15,0,24,60.0
A-Wall,8,16,0,24,50.0
"2KBABY, DDG",9,13,2,24,69.23076923076923
SpotemGottem,7,15,1,23,46.666666666666664
Framed,5,18,0,23,27.77777777777778
Lil Yachty,7,16,0,23,43.75
LIL UZI VERT,9,14,0,23,64.28571428571429
Kay Flock,7,16,0,23,43.75
Babyface Ray,7,16,0,23,43.75
The Change,6,13,4,23,46.15384615384615
Kidd G,7,12,3,22,58.333333333333336
Eminem,7,15,0,22,46.666666666666664
Dermot Kennedy,6,14,2,22,42.857142857142854
Dj Erick Mix,9,13,0,22,69.23076923076923
Peter $un,5,11,4,20,45.45454545454545
G Herbo,8,12,0,20,66.66666666666666
Tory Lanez,8,12,0,20,66.66666666666666
Thievery Corporation,6,11,3,20,54.54545454545454
Joe Black,8,11,0,19,72.72727272727273
Yung Bleu,7,12,0,19,58.333333333333336
"Anne-Marie, Little Mix",4,11,4,19,36.36363636363637
ZillaKami,6,12,1,19,50.0
Central Cee,6,12,1,19,50.0
Fredo Bang,6,12,1,19,50.0
Tink,5,13,0,18,38.46153846153847
Nextro,6,10,2,18,60.0
Remi Wolf,1,14,3,18,7.142857142857142
A Boogie Wit da Hoodie,6,11,1,18,54.54545454545454
"Joel Corry, Jax Jones, Charli XCX, Saweetie",6,11,1,18,54.54545454545454
Nothingtosay,4,11,2,17,36.36363636363637
Birdy,3,12,2,17,25.0
Luis R Conriquez,4,13,0,17,30.76923076923077
"Joyner Lucas, Lil Baby",7,10,0,17,70.0
Fat Joe,4,9,3,16,44.44444444444444
Summer Walker,6,10,0,16,60.0
Hotboii,4,12,0,16,33.33333333333333
Tainy,5,11,0,16,45.45454545454545
"T-Pain, Kehlani",4,8,4,16,50.0
Trippie Redd,6,10,0,16,60.0
Azealia Banks,3,12,1,16,25.0
MO3,4,11,0,15,36.36363636363637
Anthony Ramos,5,8,2,15,62.5
Soulja Boy,6,9,0,15,66.66666666666666
Lü Wolff,6,9,0,15,66.66666666666666
Popp Hunna,3,12,0,15,25.0
J. Cole,5,10,0,15,50.0
Big Wild,4,9,2,15,44.44444444444444
"Pi’erre Bourne, Playboi Carti",4,9,2,15,44.44444444444444
DJ SKB,4,10,0,14,40.0
Sleepy Hallow,5,9,0,14,55.55555555555556
Cochise,4,9,1,14,44.44444444444444
"SpotemGottem, NLE Choppa",5,7,2,14,71.42857142857143
P Yungin,4,10,0,14,40.0
Cartis Bunny,2,12,0,14,16.666666666666664
Warren Zeiders,6,8,0,14,75.0
WARMLECHE,4,9,1,14,44.44444444444444
Pink Sweat$,4,9,1,14,44.44444444444444
"Herencia de Patrones, Drakeo the Ruler",4,8,2,14,50.0
Beach Bunny,1,8,5,14,12.5
Chief Keef,5,9,0,14,55.55555555555556
Slump6s,5,9,0,14,55.55555555555556
NoCap,5,8,0,13,62.5
Meek Mill,5,8,0,13,62.5
kokoro,0,8,4,12,0.0
DJ Scheme,3,6,3,12,50.0
yvngxchris,5,7,0,12,71.42857142857143
girl in red,4,8,0,12,50.0
JayDaYoungan,4,8,0,12,50.0
Wale,5,7,0,12,71.42857142857143
EKKSTACY,3,9,0,12,33.33333333333333
"Morat, Danna Paola",2,9,1,12,22.22222222222222
Johnny Cash,5,6,0,11,83.33333333333334
YBN Nahmir,4,6,1,11,66.66666666666666
Liv Harland,5,6,0,11,83.33333333333334
22Gz,4,7,0,11,57.14285714285714
FN DaDealer,5,6,0,11,83.33333333333334
Santa Fe Klan,1,10,0,11,10.0
Jdot Breezy,5,6,0,11,83.33333333333334
Morgan Wallen,4,7,0,11,57.14285714285714
Kali Uchis,2,8,1,11,25.0
Texako,3,7,1,11,42.857142857142854
Lil Poppa,2,9,0,11,22.22222222222222
42 Dugg,4,7,0,11,57.14285714285714
Sweekruti Panda,3,8,0,11,37.5
Money Man,4,7,0,11,57.14285714285714
Glass Animals,3,8,0,11,37.5
Claire Rosinkranz,3,8,0,11,37.5
Fthmlss,2,7,2,11,28.57142857142857
Jaden,5,6,0,11,83.33333333333334
BTS,4,7,0,11,57.14285714285714
