Metric,Value
Total Events,122567.0
Pageviews,73360.0
Previews,16708.0
Clicks,32499.0
Pageview → Click Event Rate,44.3
Pageview → Preview Event Rate,22.78
Countries,211.0
Cities,11993.0
Artists,2419.0
Tracks,3562.0
Unique Links,3839.0
